SW,SERIE 5 - 520d  48V xDrive Touring,ciao, Business
TOURING,SERIE 3 - 320D XDRIVE TOURING,ciao,Business Advantage
MONOVOLUME,SERIE 2 GRAN TOURER - 220D XDRIVE GRAN TOURER 7P.,ciao,BUSINESS
SUV - COUPE',Q3 SPORTBACK,ciao,35 TDI BUSINESS  PLUS STRONIC
SW,A6 AVANT,ciao,40 TDI BUSINESS QUATTRO STRONIC 
BERLINA,SERIE 5 - 530E XDRIVE BERLINA,ciao,
SUV,X3 30E XDRIVE,ciao,BUSINESS ADVANTAGE
TOURING,SERIE 5 - 530E XDRIVE TOURING,ciao,
COUPE,SERIE 4 GRAN COUPE' - 430D XDRIVE COUPE' ,ciao,SPORT
SUV,Q5,ciao,50 TFSI e BUSINESS QUATTRO STRONIC
SUV - COUPE',Q5 SPORTBACK,ciao,50 TFSI e BUSINESS ADVANCED QUATTRO STRONIC
